ERROR [2015-08-06 01:22:55,880] mylogger:./sch.py line=17 [message="conf error: in_file name is null"]
ERROR [2015-08-06 01:40:13,907] mylogger:./sch.py line=18 [message="conf error: in_file name is null"]
INFO [2015-08-06 01:40:33,131] mylogger:./sch.py line=23 [message="in_file path:./test.dat"]
INFO [2015-08-06 01:41:58,151] mylogger:./sch.py line=23 [in_file path:./test.dat]
INFO [2015-08-06 01:42:40,798] mylogger:./sch.py line 23 [in_file path:./test.dat]
INFO [2015-08-06 01:43:18,130] mylogger:./sch.py [line 23] [in_file path:./test.dat]
INFO [2015-08-06 02:26:16,747] mylogger:./sch.py [line 41] [in_file path:./data/test.dat]
ERROR [2015-08-06 02:26:16,747] mylogger:./sch.py [line 28] [[Errno 2] No such file or directory: './data/test.dat']
INFO [2015-08-06 02:26:42,941] mylogger:./sch.py [line 41] [in_file path:./data/test_1.dat]
INFO [2015-08-06 02:27:24,047] mylogger:./sch.py [line 58] [path_file :0./data/test_1.dat]
INFO [2015-08-06 02:27:27,587] mylogger:./sch.py [line 58] [path_file :0./data/test_1.dat]
INFO [2015-08-06 02:27:57,056] mylogger:./sch.py [line 58] [path_file :0./data/test_1.dat]
INFO [2015-08-06 02:27:57,058] mylogger:./sch.py [line 58] [path_file :0./data/test_2.dat]
INFO [2015-08-06 02:28:43,437] mylogger:./sch.py [line 62] [path_file :0./data/test_1.dat]
INFO [2015-08-06 02:28:43,442] mylogger:./sch.py [line 62] [path_file :0./data/test_2.dat]
INFO [2015-08-06 09:52:05,908] mylogger:./sch.py [line 62] [path_file :0./data/test_1.dat]
INFO [2015-08-06 09:52:05,912] mylogger:./sch.py [line 62] [path_file :0./data/test_2.dat]
INFO [2015-08-06 10:58:38,769] mylogger:./sch.py [line 73] [path_file :0./data/test_1.dat]
ERROR [2015-08-06 10:58:38,769] mylogger:./sch.py [line 38] [invalid literal for int() with base 10: '']
INFO [2015-08-06 10:58:38,770] mylogger:./sch.py [line 76] [running...]
INFO [2015-08-06 10:58:38,775] mylogger:./sch.py [line 78] [program finished...]
INFO [2015-08-06 10:58:38,775] mylogger:./sch.py [line 73] [path_file :0./data/test_2.dat]
ERROR [2015-08-06 10:58:38,775] mylogger:./sch.py [line 38] [invalid literal for int() with base 10: '']
INFO [2015-08-06 10:58:38,776] mylogger:./sch.py [line 76] [running...]
INFO [2015-08-06 10:58:38,776] mylogger:./sch.py [line 78] [program finished...]
